address,walk_score,lat,lon
212 Hook PLace,30,42.439598,-76.520306
217 Center St,76,42.435516,-76.503534
219 Eddy Street,83,42.440368,-76.487095
219 Kelvin Pl,32,42.456829,-76.483268
219 Linden Ave Apt. 1,79,42.440242,-76.483902
220 Eddy St,89,42.440352,-76.487769
220 Triphammer Rd.,31,42.456858,-76.48156
221 EDDY ST.,83,42.440568,-76.487017
2250 N Triphammer Rd,43,42.478783,-76.484381
227 Snyder Hill Road,1,42.423135,-76.449202
228 Linden Ave Apt # 2,86,42.440775,-76.484434
232 Linden Ave,91,42.44097,-76.484442
241 Linden Ave. Apt. A,81,42.441285,-76.484019
2695 Slaterville Rd,6,42.39361,-76.347585
27 Spruce Lane,33,42.472077,-76.484552
29 Meadowlark Rd,2,42.471851,-76.446678
301 College Avenue Apartment 2A,86,42.440401,-76.484812
301 Dryden Road,84,42.441463,-76.484026
301 Maple Ave,46,42.440905,-76.472045
301 Maple Ave.,46,42.440905,-76.472045
303 Wyckoff Ave,36,42.455067,-76.483834
306 Stewart Avenue,88,42.441861,-76.490035
306 Stewart Avenue Apartment 1,88,42.441861,-76.490035
307 Stewart Avenue,88,42.442234,-76.489796
"308 Fairmount Ave, Apt 3",78,42.440637,-76.480752
308 Fairmount Ave. Apt 1,78,42.440637,-76.480752
308 Fairmount Ave. Apt 2,78,42.440637,-76.480752
309 East Court Street,0,42.442435,-76.495117
309 Eddy St,89,42.44127,-76.487431
309 Hudson St. #1,85,42.436517,-76.492197
310 - 12 Turner Place,92,42.435999,-76.497037
310 Farm St,84,42.445289,-76.495213
"316 Highland Road (The Villager), Apt B-301",29,42.4585,-76.48845
318 W Seneca,95,42.440408,-76.503223
319 Dryden Apt 4,84,42.441083,-76.482852
319 Highland Road,25,42.458705,-76.485689
319 Highland Road apt 2A,25,42.458705,-76.485689
324 Thurston Ave,48,42.453602,-76.485399
324 Thurston Avenue,48,42.453602,-76.485399
"37 Uptown Rd, Unit 24C",46,42.480759,-76.475007
37 Uptown Rd.,46,42.480759,-76.475007
400 Oak Ave,62,42.441877,-76.480687
400 Triphammer Road,24,42.458895,-76.484478
"401 College Ave, 3rd Floor",86,42.441733,-76.485035
407 College Ave,86,42.441956,-76.485007
407 Summerhill Lane Apt 2,33,42.437539,-76.460906
408 Cascadilla St.,87,42.444644,-76.504166
408 North Aurora St,94,42.443037,-76.495812
414 Stewart Ave,88,42.442849,-76.490096
415 W Buffalo,93,42.440865,-76.504944
419 Wyckoff Ave,35,42.456095,-76.484388
422 East Buffalo Street,92,42.441712,-76.492702
426 East Buffalo St APT 3,88,42.441939,-76.492517
